Route_ID,Origin_City,Destination_City,Distance_KM,Typical_Transit_Days,Traffic_Density
RT-0001,Chicago,Detroit,1060,2,High
RT-0002,Chicago,Minneapolis,1494,2,Medium
RT-0003,Chicago,Milwaukee,1330,2,Medium
RT-0004,Chicago,Cleveland,1295,2,Medium
RT-0005,Chicago,Houston,1838,3,High
RT-0006,Chicago,Dallas,2369,4,High
RT-0007,Chicago,Atlanta,666,1,High
RT-0008,Chicago,Miami,1438,2,Medium
RT-0009,Chicago,Nashville,530,1,High
RT-0010,Chicago,New York,1682,3,Medium
RT-0011,Chicago,Boston,2335,4,Medium
RT-0012,Chicago,Philadelphia,330,1,High
RT-0013,Chicago,Baltimore,1885,3,Medium
RT-0014,Chicago,Washington DC,969,1,Medium
RT-0015,Chicago,Los Angeles,1715,3,High
RT-0016,Chicago,San Francisco,1415,2,High
RT-0017,Chicago,Seattle,1155,2,Medium
RT-0018,Chicago,Phoenix,1384,2,High
RT-0019,Chicago,Denver,659,1,High
RT-0020,Detroit,Chicago,221,1,Medium
RT-0021,Detroit,Minneapolis,947,1,Medium
RT-0022,Detroit,Milwaukee,674,1,Medium
RT-0023,Detroit,Cleveland,1282,2,Low
RT-0024,Detroit,Houston,2247,4,Medium
RT-0025,Detroit,Dallas,1175,2,High
RT-0026,Detroit,Atlanta,2006,4,Low
RT-0027,Detroit,Miami,389,1,Low
RT-0028,Detroit,Nashville,762,1,Low
RT-0029,Detroit,New York,2099,4,High
RT-0030,Detroit,Boston,1467,2,Medium
RT-0031,Detroit,Philadelphia,1728,3,Medium
RT-0032,Detroit,Baltimore,846,1,Medium
RT-0033,Detroit,Washington DC,2268,4,Medium
RT-0034,Detroit,Los Angeles,2414,4,High
RT-0035,Detroit,San Francisco,1497,2,High
RT-0036,Detroit,Seattle,800,1,Medium
RT-0037,Detroit,Phoenix,2261,4,Medium
RT-0038,Detroit,Denver,441,1,Medium
RT-0039,Minneapolis,Chicago,2241,4,High
RT-0040,Minneapolis,Detroit,1563,3,Medium
RT-0041,Minneapolis,Milwaukee,2339,4,Medium
RT-0042,Minneapolis,Cleveland,1590,3,Low
RT-0043,Minneapolis,Houston,1678,3,Medium
RT-0044,Minneapolis,Dallas,975,1,Low
RT-0045,Minneapolis,Atlanta,234,1,Low
RT-0046,Minneapolis,Miami,2453,4,Low
RT-0047,Minneapolis,Nashville,2155,4,Low
RT-0048,Minneapolis,New York,1785,3,Medium
RT-0049,Minneapolis,Boston,1221,2,Medium
RT-0050,Minneapolis,Philadelphia,1329,2,Low
RT-0051,Minneapolis,Baltimore,1700,3,Low
RT-0052,Minneapolis,Washington DC,902,1,Low
RT-0053,Minneapolis,Los Angeles,1779,3,Medium
RT-0054,Minneapolis,San Francisco,361,1,High
RT-0055,Minneapolis,Seattle,401,1,Medium
RT-0056,Minneapolis,Phoenix,2181,4,Medium
RT-0057,Minneapolis,Denver,1195,2,Low
RT-0058,Milwaukee,Chicago,1015,2,High
RT-0059,Milwaukee,Detroit,655,1,Low
RT-0060,Milwaukee,Minneapolis,1475,2,Low
RT-0061,Milwaukee,Cleveland,1216,2,High
RT-0062,Milwaukee,Houston,537,1,High
RT-0063,Milwaukee,Dallas,1078,2,Medium
RT-0064,Milwaukee,Atlanta,1276,2,Medium
RT-0065,Milwaukee,Miami,991,1,Medium
RT-0066,Milwaukee,Nashville,2464,4,Medium
RT-0067,Milwaukee,New York,963,1,Medium
RT-0068,Milwaukee,Boston,2435,4,Low
RT-0069,Milwaukee,Philadelphia,579,1,Low
RT-0070,Milwaukee,Baltimore,692,1,Low
RT-0071,Milwaukee,Washington DC,1380,2,Low
RT-0072,Milwaukee,Los Angeles,2262,4,High
RT-0073,Milwaukee,San Francisco,264,1,High
RT-0074,Milwaukee,Seattle,1567,3,Low
RT-0075,Milwaukee,Phoenix,1352,2,Medium
RT-0076,Milwaukee,Denver,2227,4,Low
RT-0077,Cleveland,Chicago,1695,3,High
RT-0078,Cleveland,Detroit,1362,2,Low
RT-0079,Cleveland,Minneapolis,1722,3,Low
RT-0080,Cleveland,Milwaukee,591,1,Low
RT-0081,Cleveland,Houston,1898,3,High
RT-0082,Cleveland,Dallas,618,1,Low
RT-0083,Cleveland,Atlanta,578,1,Medium
